127.0.0.1 - - [04/Apr/2022:18:03:40 +0900] "GET / HTTP/1.1" 200 4822
0:0:0:0:0:0:0:1 - - [04/Apr/2022:18:03:46 +0900] "GET /board/list.do HTTP/1.1" 200 7768
0:0:0:0:0:0:0:1 - - [04/Apr/2022:18:03:47 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [04/Apr/2022:18:03:48 +0900] "GET /member/login.do HTTP/1.1" 200 4528
0:0:0:0:0:0:0:1 - - [04/Apr/2022:18:03:49 +0900] "POST /member/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Apr/2022:18:03:49 +0900] "GET /board/list.do HTTP/1.1" 200 8091
0:0:0:0:0:0:0:1 - - [04/Apr/2022:18:03:49 +0900] "GET /upload/member/admin.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [04/Apr/2022:18:03:53 +0900] "GET /image/list.do HTTP/1.1" 200 7026
0:0:0:0:0:0:0:1 - - [04/Apr/2022:18:03:53 +0900] "GET /upload/member/admin.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [04/Apr/2022:18:03:53 +0900] "GET /upload/image/cat01.jpg HTTP/1.1" 200 57322
0:0:0:0:0:0:0:1 - - [04/Apr/2022:18:03:53 +0900] "GET /upload/image/dog01.jpg HTTP/1.1" 200 30460
0:0:0:0:0:0:0:1 - - [04/Apr/2022:18:04:01 +0900] "GET /image/write.do?perPageNum=10 HTTP/1.1" 200 5108
0:0:0:0:0:0:0:1 - - [04/Apr/2022:18:04:01 +0900] "GET /upload/member/admin.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [04/Apr/2022:18:04:38 +0900] "GET /member/view.do HTTP/1.1" 200 5423
0:0:0:0:0:0:0:1 - - [04/Apr/2022:18:04:38 +0900] "GET /upload/member/admin.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [04/Apr/2022:18:04:38 +0900] "GET /upload/member/admin.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [04/Apr/2022:18:10:10 +0900] "POST /image/write.do HTTP/1.1" 302 -
